央视频道,#genre#
无线新闻,http://livesec.mudu.tv/watch/0t5ejs.m3u8
央视标清,#genre#
CCTV-1,http://39.134.240.3/PLTV/2/224/3221225886/index.m3u8
CCTV-2,http://39.134.240.3/PLTV/2/224/3221225920/index.m3u8
CCTV-3,http://39.134.240.3/PLTV/2/224/3221226180/index.m3u8
CCTV-4,http://39.134.240.3/PLTV/2/224/3221225924/index.m3u8
CCTV-5,http://39.134.240.3/PLTV/2/224/3221226182/index.m3u8
CCTV-6,http://39.134.240.3/PLTV/2/224/3221226184/index.m3u8
CCTV-7,http://39.134.240.3/PLTV/2/224/3221225930/index.m3u8
CCTV-8,http://39.134.240.3/PLTV/2/224/3221226186/index.m3u8
CCTV-9,http://39.134.240.3/PLTV/2/224/3221225934/index.m3u8
CCTV-10,http://39.134.240.3/PLTV/2/224/3221225938/index.m3u8
CCTV-11,http://39.134.240.3/PLTV/2/224/3221225940/index.m3u8
CCTV-12,http://39.134.240.3/PLTV/2/224/3221225942/index.m3u8
CCTV-13,http://39.134.240.3/PLTV/2/224/3221225944/index.m3u8
CCTV-14,http://39.134.240.3/PLTV/2/224/3221225946/index.m3u8
CCTV-15,http://39.134.240.3/PLTV/2/224/3221225948/index.m3u8
CGTN DC,http://39.134.240.3/PLTV/2/224/3221225936/index.m3u8
CGTN,http://39.134.240.3/PLTV/2/224/3221225950/index.m3u8
CCTV1,http://183.215.102.57:8089/180000001001/00000001000000000007000000001243/main.m3u8
CCTV2,http://183.215.102.57:8089/180000001001/00000001000000000008000000047431/main.m3u8
CCTV3,http://183.215.102.57:8089/180000001001/00000001000000000008000000047432/main.m3u8
CCTV4,http://183.215.102.57:8089/180000001001/00000001000000000008000000047433/main.m3u8
CCTV5,http://183.215.102.57:8089/180000001001/00000001000000000008000000047434/main.m3u8
CCTV5+,http://183.215.102.57:8089/180000001001/00000001000000000008000000047442/main.m3u8
CCTV6,http://183.215.102.57:8089/180000001001/00000001000000000008000000047435/main.m3u8
CCTV7,http://183.215.102.57:8089/180000001001/00000001000000000008000000047436/main.m3u8
CCTV8,http://183.215.102.57:8089/180000001001/00000001000000000008000000047437/main.m3u8
CCTV9,http://183.215.102.57:8089/180000001001/00000001000000000008000000047438/main.m3u8
CCTV10,http://183.215.102.57:8089/180000001001/00000001000000000008000000047439/main.m3u8
CCTV11,http://183.215.102.57:8089/180000001001/00000001000000000026000000446966/main.m3u8
CCTV12,http://183.215.102.57:8089/180000001001/00000001000000000008000000047440/main.m3u8
CCTV13,http://183.215.102.57:8089/180000001001/00000000000000020000000000182324/main.m3u8
CCTV14,http://183.215.102.57:8089/180000001001/00000001000000000008000000047441/main.m3u8
CCTV15,http://183.215.102.57:8089/180000001001/00000001000000000026000000446967/main.m3u8
CCTV17,http://183.215.102.57:8089/180000001001/00000001000000000025000000024152/main.m3u8
CETV-1,http://183.215.102.57:8089/180000001001/00000001000000000016000000007220/main.m3u8
CGTN,http://183.215.102.57:8089/180000001001/00000000000000020000000000182292/main.m3u8
CGTN纪录,http://183.215.102.57:8089/180000001001/00000000000000020000000000182305/main.m3u8
卫视频道,#genre#
东方卫视[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226208/index.m3u8
